Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
64,1966,5,Karnataka,Bangalore,3744,84.08,10.89,10.31,707,15.88,2.06,1.95,2,0.04,0.01,0.01,4453,12.96,12.26
64,1967,5,Karnataka,Bangalore,3044,78.49,8.51,8.31,804,20.73,2.25,2.19,30,0.77,0.08,0.08,3878,10.84,10.58
64,1968,5,Karnataka,Bangalore,4644,53.52,12.41,12.15,3364,38.77,8.99,8.8,669,7.71,1.79,1.75,8677,23.19,22.7
64,1969,5,Karnataka,Bangalore,4602,69.99,12.01,11.75,1290,19.62,3.37,3.3,683,10.39,1.78,1.74,6575,17.15,16.79
64,1970,5,Karnataka,Bangalore,6725,67.64,17.01,16.31,2020,20.32,5.11,4.9,1197,12.04,3.03,2.9,9942,25.15,24.11
64,1971,5,Karnataka,Bangalore,7763,65.55,19.99,19.26,2475,20.9,6.37,6.14,1605,13.55,4.13,3.98,11843,30.49,29.39
64,1972,5,Karnataka,Bangalore,6796,59.2,17.54,17.23,2737,23.84,7.07,6.94,1946,16.95,5.02,4.93,11479,29.63,29.1
64,1973,5,Karnataka,Bangalore,6123,50.14,15.84,15.43,3572,29.25,9.24,9,2517,20.61,6.51,6.34,12212,31.6,30.78
64,1974,5,Karnataka,Bangalore,8299,51.55,21.32,20.76,3631,22.56,9.33,9.08,4168,25.89,10.71,10.43,16098,41.35,40.28
64,1975,5,Karnataka,Bangalore,11784,72.08,29.73,28.69,2162,13.22,5.45,5.26,2402,14.69,6.06,5.85,16348,41.24,39.81
64,1976,5,Karnataka,Bangalore,7775,62.95,20.8,20.28,2201,17.82,5.89,5.74,2375,19.23,6.35,6.2,12351,33.04,32.22
64,1977,5,Karnataka,Bangalore,9091,49.76,22.31,20.96,2578,14.11,6.33,5.94,6599,36.12,16.2,15.21,18268,44.84,42.11
64,1978,5,Karnataka,Bangalore,11470,50.18,27.24,25.85,3766,16.48,8.95,8.49,7621,33.34,18.1,17.18,22857,54.29,51.51
64,1979,5,Karnataka,Bangalore,13133,54.21,31.65,30.26,3585,14.8,8.64,8.26,7506,30.99,18.09,17.29,24224,58.37,55.82
64,1980,5,Karnataka,Bangalore,10565,49.66,26.95,26.15,3137,14.75,8,7.76,7572,35.59,19.32,18.74,21274,54.27,52.66
64,1981,5,Karnataka,Bangalore,12397,59.95,30.69,29.1,3341,16.16,8.27,7.84,4940,23.89,12.23,11.6,20678,51.18,48.54
64,1982,5,Karnataka,Bangalore,14741,60.46,37.97,36.77,5370,22.02,13.83,13.39,4271,17.52,11,10.65,24382,62.81,60.82
64,1983,5,Karnataka,Bangalore,16074,64.5,40.68,37.99,5456,21.89,13.81,12.9,3392,13.61,8.59,8.02,24922,63.08,58.9
64,1984,5,Karnataka,Bangalore,15973,55.81,41.96,40.06,8700,30.4,22.85,21.82,3947,13.79,10.37,9.9,28620,75.18,71.78
64,1985,5,Karnataka,Bangalore,18480,61.4,48.84,47.42,7811,25.95,20.64,20.04,3806,12.65,10.06,9.77,30097,79.54,77.23
64,1986,5,Karnataka,Bangalore,16939,59.37,43.85,41.82,6976,24.45,18.06,17.22,4617,16.18,11.95,11.4,28532,73.86,70.45
64,1987,5,Karnataka,Bangalore,18072,60.82,44.89,42.91,7148,24.06,17.75,16.97,4495,15.13,11.16,10.67,29715,73.81,70.55
64,1988,5,Karnataka,Bangalore,33542,62.36,80.67,76.18,14808,27.53,35.61,33.63,5438,10.11,13.08,12.35,53788,129.36,122.16
64,1989,5,Karnataka,Bangalore,23921,56.29,59.56,56.87,12459,29.32,31.02,29.62,6117,14.39,15.23,14.54,42497,105.82,101.04
64,1990,5,Karnataka,Bangalore,20170,52.34,50.91,49.29,11362,29.48,28.68,27.77,7008,18.18,17.69,17.13,38540,97.28,94.19
64,1991,5,Karnataka,Bangalore,24393,52.4,59.08,54.63,13865,29.78,33.58,31.05,8297,17.82,20.1,18.58,46555,112.76,104.27
64,1992,5,Karnataka,Bangalore,25327,52.3,62.04,58.33,15415,31.83,37.76,35.5,7681,15.86,18.82,17.69,48423,118.62,111.52
64,1993,5,Karnataka,Bangalore,31570,64.7,76.86,71.81,12233,25.07,29.78,27.82,4990,10.23,12.15,11.35,48793,118.79,110.98
64,1994,5,Karnataka,Bangalore,31622,70.01,85.72,77.84,8269,18.31,22.41,20.35,5280,11.69,14.31,13,45171,122.44,111.19
64,1995,5,Karnataka,Bangalore,32287,65.96,83.91,78.21,10327,21.1,26.84,25.02,6339,12.95,16.47,15.35,48953,127.22,118.58
64,1996,5,Karnataka,Bangalore,33698,71.21,88.87,82.18,8515,17.99,22.46,20.77,5111,10.8,13.48,12.46,47324,124.8,115.41
64,1997,5,Karnataka,Bangalore,34470,60.36,96.2,87.88,15096,26.44,42.13,38.49,7540,13.2,21.04,19.22,57106,159.37,145.6
64,1998,5,Karnataka,Bangalore,37506,61.27,98.67,89.59,15335,25.05,40.34,36.63,8376,13.68,22.04,20.01,61217,161.05,146.22
64,1999,5,Karnataka,Bangalore,34858,60.62,91.28,82.24,15203,26.44,39.81,35.87,7446,12.95,19.5,17.57,57507,150.6,135.68
64,2000,5,Karnataka,Bangalore,38829,50.39,101.12,92.45,23960,31.1,62.4,57.05,14264,18.51,37.15,33.96,77053,200.66,183.46
64,2001,5,Karnataka,Bangalore,36824,46.72,97.71,87.53,23837,30.24,63.25,56.66,18159,23.04,48.18,43.16,78820,209.14,187.35
64,2002,5,Karnataka,Bangalore,32961,46.4,99.11,94.73,17996,25.33,54.11,51.72,20079,28.27,60.38,57.71,71036,213.6,204.16
64,2003,5,Karnataka,Bangalore,28112,40.48,74.02,70.32,13054,18.79,34.37,32.65,28289,40.73,74.49,70.76,69455,182.89,173.73
64,2004,5,Karnataka,Bangalore,45976,41.9,116.65,113.09,31416,28.63,79.71,77.27,32329,29.46,82.03,79.52,109721,278.39,269.88
64,2005,5,Karnataka,Bangalore,44635,43.73,114.5,110.69,28084,27.52,72.04,69.64,29342,28.75,75.27,72.76,102061,261.82,253.1
64,2006,5,Karnataka,Bangalore,37189,50.56,125.11,120.79,18457,25.09,62.09,59.95,17910,24.35,60.25,58.17,73556,247.46,238.92
64,2007,5,Karnataka,Bangalore,37232,53,115.75,103.86,17271,24.59,53.69,48.18,15741,22.41,48.94,43.91,70244,218.38,195.94
64,2008,5,Karnataka,Bangalore,38583,46.04,111.79,107.68,21925,26.17,63.52,61.19,23287,27.79,67.47,64.99,83795,242.78,233.87
64,2009,5,Karnataka,Bangalore,37352,48.15,107.68,103.92,24582,31.69,70.86,68.39,15647,20.17,45.11,43.53,77581,223.65,215.84
64,2010,5,Karnataka,Bangalore,36145,49.96,104.86,100.72,24622,34.03,71.43,68.61,11584,16.01,33.61,32.28,72351,209.9,201.62
64,2011,5,Karnataka,Bangalore,41784,52.46,122.35,118.3,26116,32.79,76.47,73.94,11742,14.74,34.38,33.24,79642,233.21,225.48
64,2012,5,Karnataka,Bangalore,36248,59.04,116.31,111.48,16626,27.08,53.35,51.13,8526,13.89,27.36,26.22,61400,197.01,188.84
64,2013,5,Karnataka,Bangalore,41588,57.25,127.57,122.14,22777,31.35,69.87,66.89,8279,11.4,25.39,24.31,72644,222.83,213.35
64,2014,5,Karnataka,Bangalore,39399,56.07,129.95,123.95,21503,30.6,70.92,67.65,9371,13.34,30.91,29.48,70273,231.79,221.07
64,2015,5,Karnataka,Bangalore,36247,60.08,116.99,109.75,16783,27.82,54.17,50.82,7300,12.1,23.56,22.1,60330,194.73,182.67
64,2016,5,Karnataka,Bangalore,33096,60.49,114.24,107.78,16765,30.64,57.87,54.6,4848,8.86,16.73,15.79,54709,188.85,178.17
64,2017,5,Karnataka,Bangalore,37554,64.13,127.51,120.41,15679,26.77,53.24,50.27,5330,9.1,18.1,17.09,58563,198.84,187.77
65,1966,5,Karnataka,Kolar,2183,75.38,9.43,9.26,713,24.62,3.08,3.02,0,0,0,0,2896,12.5,12.28
65,1967,5,Karnataka,Kolar,2345,73.74,10.59,10.33,810,25.47,3.66,3.57,25,0.79,0.11,0.11,3180,14.36,14.01
65,1968,5,Karnataka,Kolar,4925,86.63,21.35,20.57,589,10.36,2.55,2.46,171,3.01,0.74,0.71,5685,24.64,23.75
65,1969,5,Karnataka,Kolar,2802,79.83,10.01,9.29,407,11.6,1.45,1.35,301,8.58,1.08,1,3510,12.54,11.64
65,1970,5,Karnataka,Kolar,3362,66.25,11.89,10.98,1165,22.96,4.12,3.8,548,10.8,1.94,1.79,5075,17.95,16.57
65,1971,5,Karnataka,Kolar,2709,52.26,8.5,7.83,1287,24.83,4.04,3.72,1188,22.92,3.73,3.43,5184,16.27,14.99
65,1972,5,Karnataka,Kolar,3666,49.86,11.65,10.65,2252,30.63,7.16,6.54,1435,19.52,4.56,4.17,7353,23.37,21.37
65,1973,5,Karnataka,Kolar,4204,56.63,12.85,11.77,1996,26.89,6.1,5.59,1224,16.49,3.74,3.43,7424,22.69,20.78
65,1974,5,Karnataka,Kolar,5482,53.98,16.76,15.29,2476,24.38,7.57,6.91,2198,21.64,6.72,6.13,10156,31.06,28.33
65,1975,5,Karnataka,Kolar,6084,68.89,18.03,16.43,1532,17.35,4.54,4.14,1216,13.77,3.6,3.28,8832,26.17,23.84
65,1976,5,Karnataka,Kolar,5576,66.81,17.26,16.14,1685,20.19,5.22,4.88,1085,13,3.36,3.14,8346,25.84,24.16
65,1977,5,Karnataka,Kolar,6264,65.84,18.43,16.9,1906,20.03,5.61,5.14,1344,14.13,3.95,3.63,9514,27.99,25.67
65,1978,5,Karnataka,Kolar,8567,62.34,24.46,22.35,2920,21.25,8.34,7.62,2256,16.42,6.44,5.89,13743,39.24,35.85
65,1979,5,Karnataka,Kolar,9289,62.44,27.65,26.85,3389,22.78,10.09,9.79,2198,14.78,6.54,6.35,14876,44.27,42.99
65,1980,5,Karnataka,Kolar,7365,60.59,24.07,23.91,2501,20.57,8.17,8.12,2290,18.84,7.48,7.44,12156,39.73,39.47
65,1981,5,Karnataka,Kolar,9175,65.45,27.14,26.59,2848,20.32,8.43,8.26,1996,14.24,5.91,5.79,14019,41.48,40.63
65,1982,5,Karnataka,Kolar,9798,63.2,30.82,30.54,3582,23.11,11.27,11.17,2123,13.69,6.68,6.62,15503,48.77,48.33
65,1983,5,Karnataka,Kolar,9531,61.15,28.14,27.86,3216,20.63,9.5,9.4,2840,18.22,8.39,8.3,15587,46.02,45.56
65,1984,5,Karnataka,Kolar,9039,53.66,26.18,24.5,5024,29.82,14.55,13.62,2782,16.52,8.06,7.54,16845,48.8,45.65
65,1985,5,Karnataka,Kolar,10161,59.35,28.76,27.9,4623,27,13.09,12.69,2336,13.64,6.61,6.41,17120,48.46,47.01
65,1986,5,Karnataka,Kolar,10729,54.59,30.73,29.27,5628,28.63,16.12,15.36,3298,16.78,9.45,9,19655,56.3,53.63
65,1987,5,Karnataka,Kolar,12149,57.3,33.68,31.66,5461,25.75,15.14,14.23,3594,16.95,9.96,9.37,21204,58.79,55.26
65,1988,5,Karnataka,Kolar,18787,59.92,48.11,44.76,7974,25.43,20.42,19,4593,14.65,11.76,10.94,31354,80.29,74.71
65,1989,5,Karnataka,Kolar,16802,57.17,44.07,41.55,8659,29.46,22.71,21.41,3928,13.37,10.3,9.71,29389,77.08,72.67
65,1990,5,Karnataka,Kolar,18420,52.85,49.41,47,10971,31.48,29.43,27.99,5464,15.68,14.66,13.94,34855,93.5,88.93
65,1991,5,Karnataka,Kolar,20992,55.11,54.23,49.55,12199,32.03,31.51,28.79,4898,12.86,12.65,11.56,38089,98.39,89.9
65,1992,5,Karnataka,Kolar,19257,56.36,54.51,51.27,11090,32.46,31.39,29.53,3822,11.19,10.82,10.18,34169,96.72,90.98
65,1993,5,Karnataka,Kolar,20368,66.07,52.98,48.59,7214,23.4,18.76,17.21,3247,10.53,8.45,7.75,30829,80.19,73.54
65,1994,5,Karnataka,Kolar,22220,69.48,64.49,60.86,6668,20.85,19.35,18.26,3092,9.67,8.97,8.47,31980,92.82,87.59
65,1995,5,Karnataka,Kolar,24989,66.68,69.75,66.91,8239,21.98,23,22.06,4250,11.34,11.86,11.38,37478,104.61,100.35
65,1996,5,Karnataka,Kolar,29060,70.92,75.59,69.84,8294,20.24,21.57,19.93,3622,8.84,9.42,8.71,40976,106.58,98.48
65,1997,5,Karnataka,Kolar,29202,62.49,80.52,76.15,12392,26.52,34.17,32.32,5136,10.99,14.16,13.39,46730,128.85,121.86
65,1998,5,Karnataka,Kolar,31754,63.27,82.26,76.39,12698,25.3,32.9,30.55,5738,11.43,14.86,13.8,50190,130.02,120.74
65,1999,5,Karnataka,Kolar,30057,62.37,89.34,84.38,12518,25.98,37.21,35.14,5613,11.65,16.68,15.76,48188,143.22,135.29
65,2000,5,Karnataka,Kolar,39355,63.98,108.42,99.13,13768,22.38,37.93,34.68,8386,13.63,23.1,21.12,61509,169.45,154.93
65,2001,5,Karnataka,Kolar,31703,62.38,90.44,85.22,11971,23.55,34.15,32.18,7148,14.06,20.39,19.21,50822,144.97,136.61
65,2002,5,Karnataka,Kolar,26414,57.71,99.81,97.49,10971,23.97,41.46,40.49,8389,18.33,31.7,30.96,45774,172.97,168.95
65,2003,5,Karnataka,Kolar,25156,55.08,70.89,69.4,11250,24.63,31.7,31.04,9263,20.28,26.1,25.55,45669,128.7,125.99
65,2004,5,Karnataka,Kolar,27494,51.69,76.09,73.54,14042,26.4,38.86,37.56,11659,21.92,32.27,31.18,53195,147.22,142.28
65,2005,5,Karnataka,Kolar,31307,50.8,89.86,86.19,18244,29.6,52.37,50.23,12074,19.59,34.66,33.24,61625,176.89,169.66
65,2006,5,Karnataka,Kolar,28971,52.68,100.86,98.07,16685,30.34,58.09,56.48,9336,16.98,32.5,31.6,54992,191.45,186.16
65,2007,5,Karnataka,Kolar,30013,53.05,87.36,84.89,13535,23.93,39.4,38.28,13022,23.02,37.9,36.83,56570,164.66,160
65,2008,5,Karnataka,Kolar,34088,48.71,93.6,90.33,22585,32.27,62.01,59.85,13314,19.02,36.56,35.28,69987,192.17,185.45
65,2009,5,Karnataka,Kolar,36554,45.13,109.49,105.25,28932,35.72,86.66,83.3,15511,19.15,46.46,44.66,80997,242.6,233.21
65,2010,5,Karnataka,Kolar,37811,43.77,99.61,90.42,32910,38.1,86.7,78.7,15662,18.13,41.26,37.45,86383,227.58,206.58
65,2011,5,Karnataka,Kolar,39119,50.33,100.65,95.48,28439,36.59,73.17,69.41,10168,13.08,26.16,24.82,77726,199.97,189.71
65,2012,5,Karnataka,Kolar,33345,55.56,99.79,82.15,19343,32.23,57.89,47.65,7326,12.21,21.92,18.05,60014,179.6,147.85
65,2013,5,Karnataka,Kolar,33893,57.62,93.67,86.84,18071,30.72,49.94,46.3,6861,11.66,18.96,17.58,58825,162.57,150.71
65,2014,5,Karnataka,Kolar,27918,54.98,76.42,71.63,15097,29.73,41.32,38.73,7761,15.28,21.24,19.91,50776,138.99,130.28
65,2015,5,Karnataka,Kolar,33395,57.15,93.47,86.05,17989,30.78,50.35,46.36,7053,12.07,19.74,18.17,58437,163.56,150.58
65,2016,5,Karnataka,Kolar,25635,50.72,69.43,65.65,18354,36.31,49.71,47.01,6558,12.97,17.76,16.8,50547,136.9,129.46
65,2017,5,Karnataka,Kolar,29931,53.97,82.02,75.72,18362,33.11,50.32,46.45,7165,12.92,19.64,18.13,55458,151.98,140.3
66,1966,5,Karnataka,Tumkur,1579,83.86,3.38,3.27,304,16.14,0.65,0.63,0,0,0,0,1883,4.04,3.9
66,1967,5,Karnataka,Tumkur,2022,84.5,4.35,4.15,346,14.46,0.74,0.71,25,1.04,0.05,0.05,2393,5.15,4.91
66,1968,5,Karnataka,Tumkur,2034,66.75,4.37,4.24,798,26.19,1.71,1.66,215,7.06,0.46,0.45,3047,6.54,6.35
66,1969,5,Karnataka,Tumkur,2764,64.25,5.95,5.79,587,13.64,1.26,1.23,951,22.11,2.05,1.99,4302,9.26,9.01
66,1970,5,Karnataka,Tumkur,3013,64.01,6.13,5.97,1056,22.43,2.15,2.09,638,13.55,1.3,1.27,4707,9.57,9.33
66,1971,5,Karnataka,Tumkur,3006,56.18,6.15,6.04,1302,24.33,2.66,2.61,1043,19.49,2.13,2.09,5351,10.94,10.75
66,1972,5,Karnataka,Tumkur,4542,60.25,9.09,8.87,1987,26.36,3.98,3.88,1010,13.4,2.02,1.97,7539,15.08,14.72
66,1973,5,Karnataka,Tumkur,5323,56.4,10.66,10.12,2318,24.56,4.64,4.41,1797,19.04,3.6,3.42,9438,18.89,17.95
66,1974,5,Karnataka,Tumkur,5612,56.16,10.8,10.17,2296,22.98,4.42,4.16,2085,20.86,4.01,3.78,9993,19.24,18.12
66,1975,5,Karnataka,Tumkur,6027,64.4,11.12,10.48,1659,17.73,3.06,2.88,1672,17.87,3.08,2.91,9358,17.27,16.27
66,1976,5,Karnataka,Tumkur,4474,60.58,12.53,12.29,1703,23.06,4.77,4.68,1208,16.36,3.38,3.32,7385,20.67,20.28
66,1977,5,Karnataka,Tumkur,4818,61.38,9.32,8.83,1901,24.22,3.68,3.48,1130,14.4,2.18,2.07,7849,15.18,14.39
66,1978,5,Karnataka,Tumkur,8422,58.63,16.03,15.52,3639,25.33,6.93,6.71,2303,16.03,4.38,4.24,14364,27.34,26.47
66,1979,5,Karnataka,Tumkur,7464,58.39,14.08,13.65,3416,26.72,6.45,6.24,1903,14.89,3.59,3.48,12783,24.12,23.37
66,1980,5,Karnataka,Tumkur,6850,58.53,13.59,13.25,3094,26.44,6.14,5.98,1759,15.03,3.49,3.4,11703,23.22,22.64
66,1981,5,Karnataka,Tumkur,7137,56.21,13.67,13.14,3455,27.21,6.62,6.36,2104,16.57,4.03,3.87,12696,24.32,23.38
66,1982,5,Karnataka,Tumkur,6699,55.11,12.94,12.52,3729,30.68,7.2,6.97,1727,14.21,3.34,3.23,12155,23.48,22.72
66,1983,5,Karnataka,Tumkur,8035,59.03,15.58,15.21,3519,25.85,6.82,6.66,2057,15.11,3.99,3.89,13611,26.39,25.76
66,1984,5,Karnataka,Tumkur,9241,55.23,17.98,17.52,4459,26.65,8.67,8.45,3033,18.13,5.9,5.75,16733,32.55,31.72
66,1985,5,Karnataka,Tumkur,6948,55.46,13.78,13.5,3995,31.89,7.92,7.76,1585,12.65,3.14,3.08,12528,24.84,24.34
66,1986,5,Karnataka,Tumkur,8723,53.49,16.42,15.71,5678,34.82,10.69,10.22,1906,11.69,3.59,3.43,16307,30.7,29.36
66,1987,5,Karnataka,Tumkur,11270,51.61,20.09,19.01,7104,32.53,12.67,11.99,3462,15.85,6.17,5.84,21836,38.93,36.84
66,1988,5,Karnataka,Tumkur,17554,55.75,30.51,28.35,10356,32.89,18,16.73,3575,11.35,6.21,5.77,31485,54.73,50.86
66,1989,5,Karnataka,Tumkur,14929,51.17,25.33,24.2,10369,35.54,17.6,16.81,3876,13.29,6.58,6.28,29174,49.51,47.29
66,1990,5,Karnataka,Tumkur,12725,47.56,22.84,21.93,10781,40.29,19.35,18.58,3252,12.15,5.84,5.6,26758,48.02,46.11
66,1991,5,Karnataka,Tumkur,16115,52.36,27.44,25.41,10631,34.54,18.1,16.76,4033,13.1,6.87,6.36,30779,52.4,48.54
66,1992,5,Karnataka,Tumkur,14664,50.52,25.5,23.89,10907,37.57,18.97,17.77,3458,11.91,6.01,5.63,29029,50.48,47.29
66,1993,5,Karnataka,Tumkur,15833,58.94,26.26,24.63,7960,29.63,13.2,12.38,3069,11.43,5.09,4.77,26862,44.56,41.79
66,1994,5,Karnataka,Tumkur,17207,61.57,30.66,29.16,7846,28.07,13.98,13.3,2896,10.36,5.16,4.91,27949,49.8,47.37
66,1995,5,Karnataka,Tumkur,20459,59.56,35.69,34.02,9723,28.3,16.96,16.17,4169,12.14,7.27,6.93,34351,59.92,57.12
66,1996,5,Karnataka,Tumkur,22724,66.55,37.69,35.57,8422,24.66,13.97,13.18,3002,8.79,4.98,4.7,34148,56.63,53.45
66,1997,5,Karnataka,Tumkur,22718,58.85,44.29,41.79,11403,29.54,22.23,20.97,4482,11.61,8.74,8.24,38603,75.26,71.01
66,1998,5,Karnataka,Tumkur,24531,59.27,39.94,37.3,11674,28.21,19.01,17.75,5183,12.52,8.44,7.88,41388,67.38,62.93
66,1999,5,Karnataka,Tumkur,24160,59.36,40.87,38.04,12185,29.94,20.61,19.19,4355,10.7,7.37,6.86,40700,68.85,64.09
66,2000,5,Karnataka,Tumkur,27927,57.58,46.31,42.25,14352,29.59,23.8,21.71,6225,12.83,10.32,9.42,48504,80.44,73.38
66,2001,5,Karnataka,Tumkur,23927,56.59,41.63,38.15,11911,28.17,20.72,18.99,6444,15.24,11.21,10.27,42282,73.57,67.41
66,2002,5,Karnataka,Tumkur,19764,57.17,36.76,34.53,10746,31.09,19.99,18.78,4059,11.74,7.55,7.09,34569,64.3,60.4
66,2003,5,Karnataka,Tumkur,15504,58.11,27.43,25.89,7403,27.75,13.1,12.36,3775,14.15,6.68,6.3,26682,47.2,44.55
66,2004,5,Karnataka,Tumkur,18184,54.51,31.21,29.28,9500,28.48,16.3,15.3,5675,17.01,9.74,9.14,33359,57.25,53.71
66,2005,5,Karnataka,Tumkur,22329,54.17,36.03,33.81,11814,28.66,19.07,17.89,7075,17.16,11.42,10.71,41218,66.52,62.41
66,2006,5,Karnataka,Tumkur,17560,53.32,34.56,32.55,10332,31.37,20.34,19.15,5040,15.3,9.92,9.34,32932,64.82,61.04
66,2007,5,Karnataka,Tumkur,21476,59.36,35.31,32.33,9334,25.8,15.35,14.05,5368,14.84,8.83,8.08,36178,59.48,54.46
66,2008,5,Karnataka,Tumkur,23923,49.23,38.89,34.95,14783,30.42,24.03,21.6,9884,20.34,16.07,14.44,48590,79,70.99
66,2009,5,Karnataka,Tumkur,29535,47.13,52.42,47.3,22672,36.18,40.24,36.31,10457,16.69,18.56,16.75,62664,111.22,100.36
66,2010,5,Karnataka,Tumkur,27684,50.84,49.53,43.82,18593,34.15,33.26,29.43,8175,15.01,14.63,12.94,54452,97.42,86.19
66,2011,5,Karnataka,Tumkur,32072,52.76,62.94,55.68,23002,37.84,45.14,39.94,5709,9.39,11.2,9.91,60783,119.29,105.53
66,2012,5,Karnataka,Tumkur,24537,67.26,50.09,44.06,8362,22.92,17.07,15.01,3583,9.82,7.31,6.43,36482,74.47,65.5
66,2013,5,Karnataka,Tumkur,24328,59.8,50.99,44.77,12390,30.46,25.97,22.8,3964,9.74,8.31,7.29,40682,85.27,74.86
66,2014,5,Karnataka,Tumkur,22880,57.11,43.98,38.16,11779,29.4,22.64,19.65,5407,13.5,10.39,9.02,40066,77.02,66.83
66,2015,5,Karnataka,Tumkur,27237,58.89,56.07,48.8,13053,28.22,26.87,23.39,5961,12.89,12.27,10.68,46251,95.21,82.87
66,2016,5,Karnataka,Tumkur,21285,55.8,45.45,39.53,12325,32.31,26.32,22.89,4538,11.9,9.69,8.43,38148,81.46,70.84
66,2017,5,Karnataka,Tumkur,24548,55.56,52.59,45.32,13290,30.08,28.47,24.54,6346,14.36,13.6,11.72,44184,94.66,81.57
67,1966,5,Karnataka,Mysore,2246,83.84,5.22,4.49,427,15.94,0.99,0.85,6,0.22,0.01,0.01,2679,6.23,5.36
67,1967,5,Karnataka,Mysore,2069,71.97,4.84,4.24,486,16.9,1.14,0.99,320,11.13,0.75,0.66,2875,6.73,5.89
67,1968,5,Karnataka,Mysore,4100,71.09,9.31,8.12,844,14.63,1.92,1.67,823,14.27,1.87,1.63,5767,13.1,11.42
67,1969,5,Karnataka,Mysore,2444,40.24,5.32,4.5,474,7.81,1.03,0.87,3155,51.95,6.87,5.81,6073,13.22,11.19
67,1970,5,Karnataka,Mysore,3874,49.58,8.42,7.08,1763,22.56,3.83,3.22,2176,27.85,4.73,3.98,7813,16.97,14.28
67,1971,5,Karnataka,Mysore,10953,58.05,23.07,19.45,3612,19.14,7.61,6.41,4304,22.81,9.06,7.64,18869,39.74,33.5
67,1972,5,Karnataka,Mysore,7337,50.96,15.18,12.65,4314,29.96,8.92,7.44,2747,19.08,5.68,4.74,14398,29.78,24.83
67,1973,5,Karnataka,Mysore,7437,48.42,15.34,12.79,4119,26.82,8.5,7.08,3802,24.76,7.84,6.54,15358,31.68,26.41
67,1974,5,Karnataka,Mysore,11481,62.7,23.04,19.2,4265,23.29,8.56,7.13,2564,14,5.14,4.29,18310,36.74,30.62
67,1975,5,Karnataka,Mysore,7532,62.74,15.13,12.53,2142,17.84,4.3,3.56,2332,19.42,4.68,3.88,12006,24.11,19.97
67,1976,5,Karnataka,Mysore,7580,60.75,15.95,13.13,2994,23.99,6.3,5.19,1904,15.26,4.01,3.3,12478,26.25,21.62
67,1977,5,Karnataka,Mysore,10233,62.58,21.29,17.4,3931,24.04,8.18,6.68,2188,13.38,4.55,3.72,16352,34.02,27.8
67,1978,5,Karnataka,Mysore,12101,57.63,24.87,20.02,5061,24.1,10.4,8.37,3835,18.26,7.88,6.35,20997,43.15,34.74
67,1979,5,Karnataka,Mysore,11715,55.67,23.96,19.66,5860,27.85,11.98,9.83,3469,16.48,7.09,5.82,21044,43.03,35.31
67,1980,5,Karnataka,Mysore,11532,58.27,23.39,19.58,5098,25.76,10.34,8.66,3160,15.97,6.41,5.37,19790,40.14,33.6
67,1981,5,Karnataka,Mysore,10937,46.95,21.79,17.9,5849,25.11,11.65,9.57,6508,27.94,12.96,10.65,23294,46.4,38.12
67,1982,5,Karnataka,Mysore,13835,54.76,27.06,24.16,5989,23.7,11.72,10.46,5441,21.54,10.64,9.5,25265,49.42,44.12
67,1983,5,Karnataka,Mysore,16504,50.13,31.33,27.78,8018,24.35,15.22,13.49,8403,25.52,15.95,14.14,32925,62.51,55.41
67,1984,5,Karnataka,Mysore,20693,49.02,39.15,33.92,11637,27.57,22.02,19.07,9886,23.42,18.71,16.2,42216,79.88,69.2
67,1985,5,Karnataka,Mysore,19956,50.9,38.73,34.19,9726,24.81,18.88,16.67,9526,24.3,18.49,16.32,39208,76.1,67.18
67,1986,5,Karnataka,Mysore,21934,52.39,42.62,36.51,11151,26.63,21.67,18.56,8782,20.98,17.07,14.62,41867,81.36,69.69
67,1987,5,Karnataka,Mysore,17407,49.57,35.99,28.54,9280,26.43,19.19,15.22,8427,24,17.42,13.82,35114,72.59,57.57
67,1988,5,Karnataka,Mysore,28337,52.5,53.7,44.88,13587,25.17,25.75,21.52,12051,22.33,22.84,19.09,53975,102.28,85.48
67,1989,5,Karnataka,Mysore,25738,48.07,48.07,39.54,14123,26.38,26.38,21.69,13683,25.55,25.56,21.02,53544,100.01,82.25
67,1990,5,Karnataka,Mysore,26499,47.2,55.14,47.26,15103,26.9,31.43,26.94,14540,25.9,30.25,25.93,56142,116.82,100.13
67,1991,5,Karnataka,Mysore,27249,50.46,50.52,42.28,14071,26.06,26.09,21.83,12678,23.48,23.5,19.67,53998,100.1,83.79
67,1992,5,Karnataka,Mysore,28846,54.2,53.55,45.06,13985,26.28,25.96,21.84,10388,19.52,19.29,16.23,53219,98.8,83.12
67,1993,5,Karnataka,Mysore,29457,57.67,55.24,46.58,11536,22.58,21.63,18.24,10089,19.75,18.92,15.96,51082,95.79,80.78
